doi,wos_id,year,journal,authors,title_wos
"",WOS000167255100011,2001,JCP,VERDUCCI J,DIRECTIONAL PREDICTIONS IN MEAN DIFFERENCES
"",WOS000167255100002,2001,JCP,[ANONYMOUS] A,CAN I TEST FOR SIMPLE EFFECTS IN THE PRESENCE OF AN INSIGNIFICANT INTERACTION?
"",WOS000167255100004,2001,JCP,[ANONYMOUS] A,CAN I MAKE CONCLUSIONS BASED ON AN INTERACTION WITHOUT TESTING THE SIMPLE EFFECTS?
"",WOS000167255100005,2001,JCP,[ANONYMOUS] A,IDENTIFYING THE APPROPRIATE MSE TERM FOR AN F TEST
"",WOS000167255100008,2001,JCP,[ANONYMOUS] A,POOLING ACROSS FACTORS
"",WOS000167255100010,2001,JCP,[ANONYMOUS] A,UNEQUAL CELL SIZES (MISSING DATA)
"",WOS000167255100012,2001,JCP,[ANONYMOUS] A,"SHOULD I TREAT A PARTICIPANT ATTRIBUTE (E.G., GENDER) AS A BLOCKING FACTOR?: PART 1"
"",WOS000167255100016,2001,JCP,[ANONYMOUS] A,"SHOULD I TREAT A PARTICIPANT ATTRIBUTE (E.G., GENDER) AS A BLOCKING FACTOR?: PART 2"
"",WOS000167255100019,2001,JCP,[ANONYMOUS] A,HOW TO ANALYZE DATA FROM A NESTED DESIGN
"",WOS000167255100022,2001,JCP,[ANONYMOUS] A,HOW TO ANALYZE DATA FROM A ``YOKED'' DESIGN
"",WOS000167255100023,2001,JCP,[ANONYMOUS] A,DEALING WITH HIGHER ORDER INTERACTIONS IN REPEATED MEASURES DESIGNS
"",WOS000167255100026,2001,JCP,[ANONYMOUS] A,MULTIPLE STIMULI AND LEARNING STUDIED THROUGH A REPEATED MEASURES DESIGN
"",WOS000167255100031,2001,JCP,[ANONYMOUS] A,USES OF ANCOVA
"",WOS000167255100032,2001,JCP,[ANONYMOUS] A,WHEN TO USE MANOVA AND SIGNIFICANT MANOVAS AND INSIGNIFICANT ANOVAS OR VICE VERSA
"",WOS000167255100038,2001,JCP,[ANONYMOUS] A,MANIPULATION CHECK: RELATIVE VERSUS ABSOLUTE MEAN DIFFERENCES
"",WOS000167255100041,2001,JCP,[ANONYMOUS] A,EFFECTIVE MANIPULATION IN THE RESOURCE MATCHING CONTEXT
"",WOS000167255100044,2001,JCP,[ANONYMOUS] A,SHOULD I MEASURE MY VARIABLE AS CONTINUOUS OR CATEGORICAL?
"",WOS000167255100048,2001,JCP,[ANONYMOUS] A,SHOULD I ANALYZE FREQUENCIES OR PROPORTIONS?
"",WOS000167255100057,2001,JCP,[ANONYMOUS] A,ANALYSIS OF FREQUENCIES DISTRIBUTED ACROSS CATEGORIES
"",WOS000167255100064,2001,JCP,[ANONYMOUS] A,HOW DO I INTERPRET LOGIT PARAMETERS?
"",WOS000167255100065,2001,JCP,[ANONYMOUS] A,TREATING AN INDIVIDUAL DIFFERENCE PREDICTOR AS CONTINUOUS OR CATEGORICAL
"",WOS000167255100079,2001,JCP,[ANONYMOUS] A,WHY USE ALPHA IF IT IS NOT A GOOD MEASURE OF UNIDIMENSIONALITY?
"",WOS000167255100091,2001,JCP,[ANONYMOUS] A,COMPUTING BELIEF X EVALUATION SCORES
"",WOS000167255100096,2001,JCP,[ANONYMOUS] A,INTERRATER RELIABILITY ASSESSMENT IN CONTENT ANALYSIS
"",WOS000167255100100,2001,JCP,[ANONYMOUS] A,DIFFERENCE BETWEEN PRINCIPAL COMPONENTS AND FACTOR ANALYSIS
"",WOS000167255100101,2001,JCP,[ANONYMOUS] A,EXPLORATORY VERSUS CONFIRMATORY FACTOR ANALYSIS
"",WOS000167255100104,2001,JCP,[ANONYMOUS] A,ORTHOGONAL OR OBLIQUE ROTATION?
"",WOS000167255100105,2001,JCP,[ANONYMOUS] A,CHECKING ASSUMPTIONS OF NORMALITY BEFORE CONDUCTING FACTOR ANALYSES
"",WOS000167255100110,2001,JCP,[ANONYMOUS] A,HOW HIGH OR LOW MUST LOADINGS BE TO KEEP OR DELETE A SCALE ITEM?
"",WOS000167255100111,2001,JCP,[ANONYMOUS] A,STRUCTURAL EQUATIONS MODELING AND STATEMENTS REGARDING CAUSALITY
"",WOS000167255100115,2001,JCP,[ANONYMOUS] A,SEM USING CORRELATION OR COVARIANCE MATRICES
"",WOS000167255100119,2001,JCP,[ANONYMOUS] A,IMPROVING MODEL FIT BY CORRELATING ERRORS
"",WOS000167255100124,2001,JCP,[ANONYMOUS] A,MEDIATORS AND MODERATORS
"",WOS000167255100131,2001,JCP,[ANONYMOUS] A,HOW CAN I CREATE A CONTINUUM ON WHICH TO MEASURE RESPONDENTS AND STIMULI?
"",WOS000167255100138,2001,JCP,[ANONYMOUS] A,"COMBINING DATA ON INDIVIDUALS AND GROUPS, NETWORKS AND DYADS"
"",WOS000167255100148,2001,JCP,[ANONYMOUS] A,DEALING WITH OUTLIERS
"",WOS000167255100154,2001,JCP,[ANONYMOUS] A,OBTAINING INFORMED CONSENT
"",WOS000167255100157,2001,JCP,[ANONYMOUS] A,ETHICS OF DELETING CONTROVERSIAL FINDINGS
10.1002/jcpy.1002,WOS000429554300012,2018,JCP,ROTMAN JD;KHAMITOV M;CONNORS S,"LIE, CHEAT, AND STEAL: HOW HARMFUL BRANDS MOTIVATE CONSUMERS TO ACT UNETHICALLY"
10.1002/jcpy.1003,WOS000430160700008,2018,JCP,CHAXEL AS;HAN Y,BENEFITING FROM DISAGREEMENT: COUNTERARGUING REDUCES PRECHOICE BIAS IN INFORMATION EVALUATION
10.1002/jcpy.1004,WOS000430160700011,2018,JCP,NIKIFORIDIS L;DURANTE KM;REDDEN JP;GRISKEVICIUS V,DO MOTHERS SPEND MORE ON DAUGHTERS WHILE FATHERS SPEND MORE ON SONS?
10.1002/jcpy.1005,WOS000430160700009,2018,JCP,STONER JL;LOKEN B;BLANK AS,THE NAME GAME: HOW NAMING PRODUCTS INCREASES PSYCHOLOGICAL OWNERSHIP AND SUBSEQUENT CONSUMER EVALUATIONS
10.1002/jcpy.1006,WOS000430160700012,2018,JCP,TIFFERET S;SAAD G;MEIRI M;IDO N,GIFT GIVING AT ISRAELI WEDDINGS AS A FUNCTION OF GENETIC RELATEDNESS AND KINSHIP CERTAINTY
10.1002/jcpy.1007,WOS000430160700007,2018,JCP,BRILEY DA;DANZIGER S;LI E,PROMOTIONAL GAMES: TRICK OR TREAT?
10.1002/jcpy.1008,WOS000429554300004,2018,JCP,LIN SC;REICH T,TO GIVE OR NOT TO GIVE? CHOOSING CHANCE UNDER MORAL CONFLICT
10.1002/jcpy.1009,WOS000430160700006,2018,JCP,BAJAJ A;BOND SD,BEYOND BEAUTY: DESIGN SYMMETRY AND BRAND PERSONALITY
10.1002/jcpy.1010,WOS000430160700003,2018,JCP,LIU PJ;LIN SC,PROJECTING LOWER COMPETENCE TO MAINTAIN MORAL WARMTH IN THE AVOIDANCE OF PROSOCIAL REQUESTS
10.1002/jcpy.1011,WOS000430160700002,2018,JCP,CONSIGLIO I;KUPOR DM;GINO F;NORTON MI,BRAND (IN)FIDELITY: WHEN FLIRTING WITH THE COMPETITION STRENGTHENS BRAND RELATIONSHIPS
10.1002/jcpy.1012,WOS000430160700010,2018,JCP,WALASEK L;BHATIA S;BROWN GDA,POSITIONAL GOODS AND THE SOCIAL RANK HYPOTHESIS: INCOME INEQUALITY AFFECTS ONLINE CHATTER ABOUT HIGH- AND LOW-STATUS BRANDS ON TWITTER
10.1002/jcpy.1013,WOS000430160700004,2018,JCP,BUECHEL EC;BERGER J,MICROBLOGGING AND THE VALUE OF UNDIRECTED COMMUNICATION
10.1002/jcpy.1014,WOS000430160700005,2018,JCP,PARK JK;JOHN DR,JUDGING A BOOK BY ITS COVER: THE INFLUENCE OF IMPLICIT SELF-THEORIES ON BRAND USER PERCEPTIONS
10.1002/jcpy.1015,WOS000438723300004,2018,JCP,MONTGOMERY NV;RAJU S;DESAI KK;UNNAVA HR,WHEN GOOD CONSUMERS TURN BAD: PSYCHOLOGICAL CONTRACT BREACH COMMITTED BRAND RELATIONSHIPS
10.1002/jcpy.1016,WOS000429554300003,2018,JCP,VON SCHUCKMANN J;BARROS LSG;DIAS EB,FROM SLUM TOURISM TO SMILEY SELFIES: THE ROLE OF SOCIAL IDENTITY STRENGTH IN THE CONSUMPTION OF MORALLY AMBIGUOUS EXPERIENCES
10.1002/jcpy.1017,WOS000429554300008,2018,JCP,GOLDSMITH K;ROUX C;MA J,WHEN SEEKING THE BEST BRINGS OUT THE WORST IN CONSUMERS: UNDERSTANDING THE RELATIONSHIP BETWEEN A MAXIMIZING MINDSET AND IMMORAL BEHAVIOR
10.1002/jcpy.1018,WOS000429554300002,2018,JCP,ARIELY D;GNEEZY U;HARUVY E,SOCIAL NORMS AND THE PRICE OF ZERO
10.1002/jcpy.1019,WOS000446169400005,2018,JCP,SIDDIQUI RA;MONGA A;BUECHEL EC,"WHEN INTERTEMPORAL REWARDS ARE HEDONIC, LARGER UNITS OF WAIT TIME BOOST PATIENCE"
10.1002/jcpy.1020,WOS000438723300005,2018,JCP,LEE J,CAN A RUDE WAITER MAKE YOUR FOOD LESS TASTY? SOCIAL CLASS DIFFERENCES IN THINKING STYLE AND CARRYOVER IN CONSUMER JUDGMENTS
10.1002/jcpy.1021,WOS000438723300002,2018,JCP,GRAF LKM;MAYER S;LANDWEHR JR,MEASURING PROCESSING FLUENCY: ONE VERSUS FIVE ITEMS
10.1002/jcpy.1022,WOS000429554300009,2018,JCP,LAMBERTON C;DE NEVE JE;NORTON MI,THE POWER OF VOICE IN STIMULATING MORALITY: ELICITING TAXPAYER PREFERENCES INCREASES TAX COMPLIANCE
10.1002/jcpy.1023,WOS000429554300007,2018,JCP,HENKEL AP;BOEGERSHAUSEN J;HOEGG K;LEMMINK J,"DISCOUNTING HUMANITY: WHEN CONSUMERS ARE PRICE CONSCIOUS, EMPLOYEES APPEAR LESS HUMAN"
10.1002/jcpy.1024,WOS000438723300008,2018,JCP,ESTEKY S;WINEMAN JD;WOOTEN DB,THE INFLUENCE OF PHYSICAL ELEVATION IN BUILDINGS ON RISK PREFERENCES: EVIDENCE FROM A PILOT AND FOUR FIELD STUDIES
10.1002/jcpy.1025,WOS000429554300005,2018,JCP,SCHWABE M;DOSE DB;WALSH G,"EVERY SAINT HAS A PAST, AND EVERY SINNER HAS A FUTURE: INFLUENCES OF REGULATORY FOCUS ON CONSUMERS' MORAL SELF-REGULATION"
10.1002/jcpy.1027,WOS000429554300006,2018,JCP,NEWMAN KP;BRUCKS M,THE INFLUENCE OF CORPORATE SOCIAL RESPONSIBILITY EFFORTS ON THE MORAL BEHAVIOR OF HIGH SELF-BRAND OVERLAP CONSUMERS
10.1002/jcpy.1028,WOS000438723300003,2018,JCP,LEE S;BAUMGARTNER H;WINTERICH KP,DID THEY EARN IT? OBSERVING UNEARNED LUXURY CONSUMPTION DECREASES BRAND ATTITUDE WHEN OBSERVERS VALUE FAIRNESS
10.1002/jcpy.1029,WOS000438723300007,2018,JCP,WHELAN J;HINGSTON ST,CAN EVERYDAY BRANDS BE THREATENING? RESPONSES TO BRAND PRIMES DEPEND ON CHILDHOOD SOCIOECONOMIC STATUS
10.1002/jcpy.1030,WOS000446169400003,2018,JCP,EMICH KJ;PYONE JS,LET IT GO: POSITIVE AFFECT ATTENUATES SUNK COST BIAS BY ENHANCING COGNITIVE FLEXIBILITY
10.1002/jcpy.1031,WOS000438723300006,2018,JCP,MAZAR N;MOCHON D;ARIELY D,"IF YOU ARE GOING TO PAY WITHIN THE NEXT 24 HOURS, PRESS 1: AUTOMATIC PLANNING PROMPT REDUCES CREDIT CARD DELINQUENCY"
10.1002/jcpy.1032,WOS000446169400007,2018,JCP,EDINGER-SCHONS LM;SIPILAE J;SEN G;WIESEKE J,ARE TWO REASONS BETTER THAN ONE? THE ROLE OF APPEAL TYPE IN CONSUMER RESPONSES TO SUSTAINABLE PRODUCTS
10.1002/jcpy.1033,WOS000429554300011,2018,JCP,MOHAN B;SCHLAGER T;DESHPANDE R;NORTON MI,CONSUMERS AVOID BUYING FROM FIRMS WITH HIGHER CEO-TO-WORKER PAY RATIOS
10.1002/jcpy.1034,WOS000446169400006,2018,JCP,HAN JJ;GERSHOFF AD,WHEN GOOD THINGS FEEL CLOSER AND BAD THINGS FEEL FARTHER: THE ROLE OF PERCEIVED CONTROL ON PSYCHOLOGICAL DISTANCE PERCEPTION
10.1002/jcpy.1035,WOS000454584400008,2019,JCP,CANNON C;GOLDSMITH K;ROUX C,A SELF-REGULATORY MODEL OF RESOURCE SCARCITY
10.1002/jcpy.1036,WOS000429554300010,2018,JCP,AMAR M;ARIELY D;CARMON Z;YANG H,HOW COUNTERFEITS INFECT GENUINE PRODUCTS: THE ROLE OF MORAL DISGUST
10.1002/jcpy.1037,WOS000438723300001,2018,JCP,LUCHS MG;MICK DG,CONSUMER WISDOM: A THEORETICAL FRAMEWORK OF FIVE INTEGRATED FACETS
10.1002/jcpy.1039,WOS000446169400002,2018,JCP,WARREN C;PEZZUTI T;KOLEY S,IS BEING EMOTIONALLY INEXPRESSIVE COOL?
10.1002/jcpy.1040,WOS000446169400004,2018,JCP,JIAO JJ;WANG J,CAN LONELY PEOPLE BEHAVE MORALLY? THE JOINT INFLUENCE OF LONELINESS AND EMPATHY ON MORAL IDENTITY
10.1002/jcpy.1041,WOS000446169400001,2018,JCP,WEIJTERS B;CABOOTER E;BAUMGARTNER H,WHEN CHEAP ISN'T THE SAME AS NOT EXPENSIVE: GENERIC PRICE TERMS AND THEIR NEGATIONS
10.1002/jcpy.1042,WOS000446169400009,2018,JCP,RODAS MA;AHLUWALIA R;OLSON NJ,A PATH TO MORE ENDURING HAPPINESS: TAKE A DETOUR FROM SPECIFIC EMOTIONAL GOALS
10.1002/jcpy.1044,WOS000438723300013,2018,JCP,GAL D;RUCKER DD,"LOSS AVERSION, INTELLECTUAL INERTIA, AND A CALL FOR A MORE CONTRARIAN SCIENCE: A REPLY TO SIMONSON \& KIVETZ AND HIGGINS \& LIBERMAN"
10.1002/jcpy.1045,WOS000438723300012,2018,JCP,HIGGINS ET;LIBERMAN N,THE LOSS OF LOSS AVERSION: PAYING ATTENTION TO REFERENCE POINTS
10.1002/jcpy.1046,WOS000438723300011,2018,JCP,SIMONSON I;KIVETZ R,BRINGING (CONTINGENT) LOSS AVERSION DOWN TO EARTH - A COMMENT ON GAL \& RUCKER'S REJECTION OF ``LOSSES LOOM LARGER THAN GAINS''
10.1002/jcpy.1047,WOS000438723300010,2018,JCP,GAL D;RUCKER DD,THE LOSS OF LOSS AVERSION: WILL IT LOOM LARGER THAN ITS GAIN?
10.1002/jcpy.1048,WOS000446169400010,2018,JCP,YOON G;VARGAS P,THE SUBTLE INFLUENCE OF CHECK AND X MARKS: HOW SYMBOLIC MARKINGS INFLUENCE JUDGMENT
10.1002/jcpy.1049,WOS000454584400003,2019,JCP,HILDEBRAND D;HARDING RD;HADI R,CULTURALLY CONTINGENT CRAVINGS: HOW HOLISTIC THINKING INFLUENCES CONSUMER RESPONSES TO FOOD APPEALS
10.1002/jcpy.1050,WOS000454584400002,2019,JCP,YEOMANS M,SOME HEDONIC CONSEQUENCES OF PERSPECTIVE-TAKING IN RECOMMENDING
10.1002/jcpy.1051,WOS000446169400008,2018,JCP,KAJU A;MAGLIO SJ,URGENTLY YOURS: TEMPORAL COMMUNICATION NORMS AND PSYCHOLOGICAL DISTANCE
10.1002/jcpy.1052,WOS000446169400011,2018,JCP,POGACAR R;SHRUM LJ;LOWREY TM,THE EFFECTS OF LINGUISTIC DEVICES ON CONSUMER INFORMATION PROCESSING AND PERSUASION: A LANGUAGE COMPLEXITYXPROCESSING MODE FRAMEWORK
10.1002/jcpy.1053,WOS000454584400004,2019,JCP,DALLAS SK;LIU PJ;UBEL PA,DON'T COUNT CALORIE LABELING OUT: CALORIE COUNTS ON THE LEFT SIDE OF MENU ITEMS LEAD TO LOWER CALORIE FOOD CHOICES
10.1002/jcpy.1054,WOS000438723300009,2018,JCP,SHAVITT S,A NEW VERSION OF LOSS AVERSION: INTRODUCTION TO RESEARCH DIALOGUE
10.1002/jcpy.1063,WOS000454584400006,2019,JCP,TAYLOR N;NOSEWORTHY TJ;PANCER E,SUPERSIZE MY CHANCES: PROMOTIONAL LOTTERIES IMPACT PRODUCT SIZE CHOICES
10.1002/jcpy.1064,WOS000454584400005,2019,JCP,KELTING K;ROBINSON S;LUTZ RJ,WOULD YOU LIKE TO ROUND UP AND DONATE THE DIFFERENCE? ROUNDUP REQUESTS REDUCE THE PERCEIVED PAIN OF DONATING
10.1002/jcpy.1065,WOS000462590900007,2019,JCP,VALLEN B;SRIDHAR K;RUBIN D;ILYUK LG;ARGO JJ,SHAPE- AND TRAIT-CONGRUENCY: USING APPEARANCE-BASED CUES AS A BASIS FOR PRODUCT RECOMMENDATIONS
10.1002/jcpy.1067,WOS000454584400001,2019,JCP,WEAVER K;HAMBY A,THE SOUNDS OF SILENCE: INFERENCES FROM THE ABSENCE OF WORD-OF-MOUTH
10.1002/jcpy.1068,WOS000454584400007,2019,JCP,SEVILLA J;LU J;KAHN BE,"VARIETY SEEKING, SATIATION, AND MAXIMIZING ENJOYMENT OVER TIME"
10.1002/jcpy.1069,WOS000462590900005,2019,JCP,JIN L;HUANG Y,HOW POWER STATES INFLUENCE THE PERSUASIVENESS OF TOP-DOG VERSUS UNDERDOG APPEALS
10.1002/jcpy.1070,WOS000462590900004,2019,JCP,HUANG XI;DONG P,ROMANTIC CRUSHES PROMOTE VARIETY-SEEKING BEHAVIOR
10.1002/jcpy.1071,WOS000462590900003,2019,JCP,WANG Y;STONER JL;JOHN DR,COUNTERFEIT LUXURY CONSUMPTION IN A SOCIAL CONTEXT: THE EFFECTS ON FEMALES' MORAL DISENGAGEMENT AND BEHAVIOR
10.1002/jcpy.1073,WOS000462590900006,2019,JCP,PANCER E;CHANDLER V;POOLE M;NOSEWORTHY TJ,HOW READABILITY SHAPES SOCIAL MEDIA ENGAGEMENT
10.1002/jcpy.1074,WOS000462590900008,2019,JCP,HAMILTON RW;MITTAL C;SHAH A;THOMPSON D;GRISKEVICIUS V,HOW FINANCIAL CONSTRAINTS INFLUENCE CONSUMER BEHAVIOR: AN INTEGRATIVE FRAMEWORK
10.1002/jcpy.1075,WOS000454584400010,2019,JCP,CHANEY KE;SANCHEZ DT;MAIMON MR,STIGMATIZED-IDENTITY CUES IN CONSUMER SPACES
10.1002/jcpy.1076,WOS000454584400011,2019,JCP,WOOTEN D;RANK-CHRISTMAN T,STIGMATIZED-IDENTITY CUES: THREATS AS OPPORTUNITIES FOR CONSUMER PSYCHOLOGY
10.1002/jcpy.1077,WOS000454584400012,2019,JCP,LAMBERTON C,TOWARD A DIGNITY ARCHITECTURE: THE CRITICAL CHALLENGES OF STIGMATIZED-IDENTITY CUES FOR CONSUMER PSYCHOLOGY
10.1002/jcpy.1078,WOS000454584400013,2019,JCP,SANCHEZ DT;CHANEY KE;MAIMON MR,STIGMATIZED-IDENTITY CUES AND CONSUMER APPLICATIONS REVISITED
